Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 5,Friday,1,"$48,103,839",-,-,"4,450","$10,809","$48,103,839",1,false
May 6,Saturday,1,"$38,876,290",-19.2%,-,"4,450","$8,736","$86,980,129",2,false
May 7,Sunday,1,"$31,433,892",-19.1%,-,"4,450","$7,063","$118,414,021",3,false
May 8,Monday,1,"$8,925,041",-71.6%,-,"4,450","$2,005","$127,339,062",4,false
May 9,Tuesday,1,"$11,082,506",+24.2%,-,"4,450","$2,490","$138,421,568",5,false
May 10,Wednesday,1,"$7,120,259",-35.8%,-,"4,450","$1,600","$145,541,827",6,false
May 11,Thursday,1,"$7,159,351",+0.5%,-,"4,450","$1,608","$152,701,178",7,false
May 12,Friday,1,"$15,616,247",+118.1%,-67.5%,"4,450","$3,509","$168,317,425",8,false
May 13,Saturday,1,"$26,117,258",+67.2%,-32.8%,"4,450","$5,869","$194,434,683",9,false
May 14,Sunday,1,"$20,275,043",-22.4%,-35.5%,"4,450","$4,556","$214,709,726",10,false
May 15,Monday,1,"$5,183,492",-74.4%,-41.9%,"4,450","$1,164","$219,893,218",11,false
May 16,Tuesday,1,"$6,446,574",+24.4%,-41.8%,"4,450","$1,448","$226,339,792",12,false
May 17,Wednesday,1,"$4,503,738",-30.1%,-36.7%,"4,450","$1,012","$230,843,530",13,false
May 18,Thursday,1,"$3,699,049",-17.9%,-48.3%,"4,450",$831,"$234,542,579",14,false
May 19,Friday,2,"$8,453,562",+128.5%,-45.9%,"4,450","$1,899","$242,996,141",15,false
May 20,Saturday,2,"$13,993,440",+65.5%,-46.4%,"4,450","$3,144","$256,989,581",16,false
May 21,Sunday,2,"$9,960,754",-28.8%,-50.9%,"4,450","$2,238","$266,950,335",17,false
May 22,Monday,2,"$3,531,223",-64.5%,-31.9%,"4,450",$793,"$270,481,558",18,false
May 23,Tuesday,2,"$3,570,956",+1.1%,-44.6%,"4,450",$802,"$274,052,514",19,false
May 24,Wednesday,2,"$2,773,248",-22.3%,-38.4%,"4,450",$623,"$276,825,762",20,false
May 25,Thursday,2,"$2,650,055",-4.4%,-28.4%,"4,450",$595,"$279,475,817",21,false
May 26,Friday,3,"$5,546,037",+109.3%,-34.4%,"3,940","$1,407","$285,021,854",22,false
May 27,Saturday,3,"$7,668,095",+38.3%,-45.2%,"3,940","$1,946","$292,689,949",23,false
May 28,Sunday,3,"$7,599,738",-0.9%,-23.7%,"3,940","$1,928","$300,289,687",24,false
May 29Memorial Day,Monday,2,"$6,015,074",-20.9%,+70.3%,"3,940","$1,526","$306,304,761",25,false
May 30,Tuesday,3,"$2,554,956",-57.5%,-28.5%,"3,940",$648,"$308,859,717",26,false
May 31,Wednesday,2,"$2,026,033",-20.7%,-26.9%,"3,940",$514,"$310,885,750",27,false
Jun 1,Thursday,2,"$1,625,704",-19.8%,-38.7%,"3,940",$412,"$312,511,454",28,false
Jun 2,Friday,4,"$2,928,891",+80.2%,-47.2%,"3,580",$818,"$315,440,345",29,false
Jun 3,Saturday,4,"$4,420,294",+50.9%,-42.4%,"3,580","$1,234","$319,860,639",30,false
Jun 4,Sunday,3,"$3,328,813",-24.7%,-56.2%,"3,580",$929,"$323,189,452",31,false
Jun 5,Monday,4,"$1,243,923",-62.6%,-79.3%,"3,580",$347,"$324,433,375",32,false
Jun 6,Tuesday,4,"$1,555,189",+25%,-39.1%,"3,580",$434,"$325,988,564",33,false
Jun 7,Wednesday,4,"$1,215,866",-21.8%,-40%,"3,580",$339,"$327,204,430",34,false
Jun 8,Thursday,4,"$1,168,339",-3.9%,-28.1%,"3,580",$326,"$328,372,769",35,false
Jun 9,Friday,5,"$2,024,899",+73.3%,-30.9%,"3,175",$637,"$330,397,668",36,false
Jun 10,Saturday,4,"$2,886,727",+42.6%,-34.7%,"3,175",$909,"$333,284,395",37,false
Jun 11,Sunday,4,"$2,316,378",-19.8%,-30.4%,"3,175",$729,"$335,600,773",38,false
Jun 12,Monday,5,"$920,739",-60.3%,-26%,"3,175",$289,"$336,521,512",39,false
Jun 13,Tuesday,5,"$1,147,524",+24.6%,-26.2%,"3,175",$361,"$337,669,036",40,false
Jun 14,Wednesday,5,"$937,790",-18.3%,-22.9%,"3,175",$295,"$338,606,826",41,false
Jun 15,Thursday,5,"$753,529",-19.6%,-35.5%,"3,175",$237,"$339,360,355",42,false
Jun 16,Friday,7,"$1,259,451",+67.1%,-37.8%,"2,260",$557,"$340,619,806",43,false
Jun 17,Saturday,7,"$1,834,975",+45.7%,-36.4%,"2,260",$811,"$342,454,781",44,false
Jun 18,Sunday,6,"$2,192,951",+19.5%,-5.3%,"2,260",$970,"$344,647,732",45,false
Jun 19,Monday,7,"$1,012,324",-53.8%,+9.9%,"2,260",$447,"$345,660,056",46,false
