Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 10,Friday,1,"$21,500,000",-,-,"4,030","$5,334","$21,500,000",1,true
Nov 11,Saturday,1,"$15,300,000",-28.8%,-,"4,030","$3,796","$36,800,000",2,true
Nov 12,Sunday,1,"$10,200,000",-33.3%,-,"4,030","$2,531","$47,000,000",3,true
