"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"71","10-Oct",5,12,504205,"124.80%","-37.10%",1291,390,324774109,71,FALSE
"72","11-Oct",6,12,818411,"62.30%","-44%",1291,633,325592520,72,FALSE
"73","12-Oct",7,11,502247,"-38.60%","-32.30%",1291,389,326094767,73,FALSE
"74","13-Oct",1,13,309686,"-38.30%","44.50%",1291,239,326404453,74,FALSE
"75","14-Oct",2,13,160905,"-48%","-40.60%",1291,124,326565358,75,FALSE
"76","15-Oct",3,13,143133,"-11%","-37.50%",1291,110,326708491,76,FALSE
"77","16-Oct",4,12,124240,"-13.20%","-44.60%",1291,96,326832731,77,FALSE
"78","17-Oct",5,13,280706,"125.90%","-44.30%",730,384,327113437,78,FALSE
"79","18-Oct",6,13,451835,"61%","-44.80%",730,618,327565272,79,FALSE
"80","19-Oct",7,14,227371,"-49.70%","-54.70%",730,311,327792643,80,FALSE
"81","20-Oct",1,15,79077,"-65.20%","-74.50%",730,108,327871720,81,FALSE
"82","21-Oct",2,15,83222,"5.20%","-48.30%",730,114,327954942,82,FALSE
"83","22-Oct",3,16,70854,"-14.90%","-50.50%",730,97,328025796,83,FALSE
"84","23-Oct",4,15,69793,"-1.50%","-43.80%",730,95,328095589,84,FALSE
